order_1based,external_file_order_key,official_source_file,modality,zero_run_type,start_index_inclusive,end_index_exclusive,length_native_steps,run_ratio_of_500,relative_start,relative_end,sample_zero_row_ratio,frozen_P_values,frozen_O_values,zero_context_3_positions_diagnostic_only,certified_missingness
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,111,112,1,0.002,0.222,0.224,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,114,115,1,0.002,0.228,0.23,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,120,121,1,0.002,0.24,0.242,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,139,140,1,0.002,0.278,0.28,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,143,144,1,0.002,0.286,0.288,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,155,156,1,0.002,0.31,0.312,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,164,165,1,0.002,0.328,0.33,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,interior_zero_candidate,172,173,1,0.002,0.344,0.346,0.656,2,2,1,False
3,附件3_未对齐版本_03,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_03.pkl,audio,suffix_zero_ambiguous,195,500,305,0.61,0.39,1.0,0.656,2,2,0,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,5,6,1,0.002,0.01,0.012,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,24,25,1,0.002,0.048,0.05,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,31,32,1,0.002,0.062,0.064,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,40,41,1,0.002,0.08,0.082,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,51,52,1,0.002,0.102,0.104,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,61,62,1,0.002,0.122,0.124,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,83,85,2,0.004,0.166,0.17,0.58,2,2,2,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,91,93,2,0.004,0.182,0.186,0.58,2,2,2,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,108,109,1,0.002,0.216,0.218,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,112,114,2,0.004,0.224,0.228,0.58,2,2,2,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,127,129,2,0.004,0.254,0.258,0.58,2,2,2,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,132,133,1,0.002,0.264,0.266,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,151,152,1,0.002,0.302,0.304,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,158,159,1,0.002,0.316,0.318,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,161,164,3,0.006,0.322,0.328,0.58,2,2,3,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,178,179,1,0.002,0.356,0.358,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,187,188,1,0.002,0.374,0.376,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,190,191,1,0.002,0.38,0.382,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,198,199,1,0.002,0.396,0.398,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,201,202,1,0.002,0.402,0.404,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,203,204,1,0.002,0.406,0.408,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,210,211,1,0.002,0.42,0.422,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,216,217,1,0.002,0.432,0.434,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,218,219,1,0.002,0.436,0.438,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,221,222,1,0.002,0.442,0.444,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,interior_zero_candidate,235,236,1,0.002,0.47,0.472,0.58,2,2,1,False
4,附件3_未对齐版本_04,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_04.pkl,audio,suffix_zero_ambiguous,242,500,258,0.516,0.484,1.0,0.58,2,2,0,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,7,8,1,0.002,0.014,0.016,0.832,2,2,1,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,10,11,1,0.002,0.02,0.022,0.832,2,2,1,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,35,36,1,0.002,0.07,0.072,0.832,2,2,1,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,38,39,1,0.002,0.076,0.078,0.832,2,2,1,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,50,53,3,0.006,0.1,0.106,0.832,2,2,3,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,interior_zero_candidate,69,70,1,0.002,0.138,0.14,0.832,2,2,1,False
5,附件3_未对齐版本_05,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_05.pkl,audio,suffix_zero_ambiguous,92,500,408,0.816,0.184,1.0,0.832,2,2,0,False
6,附件3_未对齐版本_06,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_06.pkl,audio,interior_zero_candidate,46,48,2,0.004,0.092,0.096,0.834,2,2,2,False
6,附件3_未对齐版本_06,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_06.pkl,audio,interior_zero_candidate,58,60,2,0.004,0.116,0.12,0.834,2,2,2,False
6,附件3_未对齐版本_06,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_06.pkl,audio,interior_zero_candidate,64,65,1,0.002,0.128,0.13,0.834,2,2,1,False
6,附件3_未对齐版本_06,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_06.pkl,audio,interior_zero_candidate,75,76,1,0.002,0.15,0.152,0.834,2,2,1,False
6,附件3_未对齐版本_06,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_06.pkl,audio,suffix_zero_ambiguous,89,500,411,0.822,0.178,1.0,0.834,2,2,0,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,prefix_zero_ambiguous,0,1,1,0.002,0.0,0.002,0.684,2,2,0,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,7,8,1,0.002,0.014,0.016,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,17,18,1,0.002,0.034,0.036,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,27,30,3,0.006,0.054,0.06,0.684,2,2,3,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,40,41,1,0.002,0.08,0.082,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,45,47,2,0.004,0.09,0.094,0.684,2,2,2,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,55,56,1,0.002,0.11,0.112,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,59,60,1,0.002,0.118,0.12,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,62,63,1,0.002,0.124,0.126,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,106,107,1,0.002,0.212,0.214,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,117,118,1,0.002,0.234,0.236,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,139,141,2,0.004,0.278,0.282,0.684,2,2,2,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,163,165,2,0.004,0.326,0.33,0.684,2,2,2,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,169,170,1,0.002,0.338,0.34,0.684,2,2,1,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,interior_zero_candidate,171,174,3,0.006,0.342,0.348,0.684,2,2,3,False
7,附件3_未对齐版本_07,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_07.pkl,audio,suffix_zero_ambiguous,180,500,320,0.64,0.36,1.0,0.684,2,2,0,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,2,3,1,0.002,0.004,0.006,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,9,10,1,0.002,0.018,0.02,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,30,31,1,0.002,0.06,0.062,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,38,39,1,0.002,0.076,0.078,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,50,51,1,0.002,0.1,0.102,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,64,65,1,0.002,0.128,0.13,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,70,71,1,0.002,0.14,0.142,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,76,77,1,0.002,0.152,0.154,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,82,83,1,0.002,0.164,0.166,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,interior_zero_candidate,90,91,1,0.002,0.18,0.182,0.836,2,2,1,False
8,附件3_未对齐版本_08,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_08.pkl,audio,suffix_zero_ambiguous,92,500,408,0.816,0.184,1.0,0.836,2,2,0,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,2,3,1,0.002,0.004,0.006,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,4,5,1,0.002,0.008,0.01,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,16,17,1,0.002,0.032,0.034,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,21,22,1,0.002,0.042,0.044,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,37,38,1,0.002,0.074,0.076,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,54,55,1,0.002,0.108,0.11,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,70,71,1,0.002,0.14,0.142,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,interior_zero_candidate,91,92,1,0.002,0.182,0.184,0.828,2,2,1,False
9,附件3_未对齐版本_09,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_09.pkl,audio,suffix_zero_ambiguous,94,500,406,0.812,0.188,1.0,0.828,2,2,0,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,7,8,1,0.002,0.014,0.016,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,11,13,2,0.004,0.022,0.026,0.902,2,2,2,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,21,22,1,0.002,0.042,0.044,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,23,24,1,0.002,0.046,0.048,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,31,32,1,0.002,0.062,0.064,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,45,46,1,0.002,0.09,0.092,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,interior_zero_candidate,53,54,1,0.002,0.106,0.108,0.902,2,2,1,False
10,附件3_未对齐版本_10,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_10.pkl,audio,suffix_zero_ambiguous,57,500,443,0.886,0.114,1.0,0.902,2,2,0,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,5,6,1,0.002,0.01,0.012,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,8,9,1,0.002,0.016,0.018,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,14,15,1,0.002,0.028,0.03,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,22,23,1,0.002,0.044,0.046,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,25,26,1,0.002,0.05,0.052,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,27,28,1,0.002,0.054,0.056,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,36,37,1,0.002,0.072,0.074,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,49,52,3,0.006,0.098,0.104,0.886,2,2,3,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,interior_zero_candidate,66,67,1,0.002,0.132,0.134,0.886,2,2,1,False
11,附件3_未对齐版本_11,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_11.pkl,audio,suffix_zero_ambiguous,68,500,432,0.864,0.136,1.0,0.886,2,2,0,False
12,附件3_未对齐版本_12,E题数据/附件3-模态缺失特征样本/未对齐版本/附件3_未对齐版本_12.pkl,audio,interior_zero_candidate,15,16,1,0.002,0.03,0.032,0.826,2,2,1,False
